suggestedSlug,displayName,roles,affectedBooks,currentStatus,missingFields,nextAction,reviewedByOwner,deathYear,canadaLifePlus70Safe,reviewDate,sourceNotes,notes
h-c-andersen,H. C. Andersen,author,the-bell (author); the-elderbush (author); the-emperor-s-new-clothes (author); the-fir-tree (author); the-leap-frog (author); the-old-house (author); the-real-princess (author); the-shoes-of-fortune (author); the-snow-queen (author); the-swineherd (author),needs owner review,deathYear; canadaLifePlus70Safe; reviewedByOwner,Fill verified deathYear/sourceNotes and set reviewedByOwner true.,false,,,,,
e-nesbit,E. Nesbit,author,new-treasure-seekers (author); the-book-of-dragons (author); the-railway-children (author),needs owner review,deathYear; canadaLifePlus70Safe; reviewedByOwner,Fill verified deathYear/sourceNotes and set reviewedByOwner true.,false,,,,,
l-frank-baum,L. Frank Baum,author,rinkitink-in-oz (author); the-emerald-city-of-oz (author); the-wonderful-wizard-of-oz (author),needs owner review,deathYear; canadaLifePlus70Safe; reviewedByOwner,Fill verified deathYear/sourceNotes and set reviewedByOwner true.,false,,,,,
l-m-montgomery,L. M. Montgomery,author,anne-of-green-gables (author); anne-of-green-gables-gutenberg-45 (author); rainbow-valley (author),needs owner review,deathYear; canadaLifePlus70Safe; reviewedByOwner,Fill verified deathYear/sourceNotes and set reviewedByOwner true.,false,,,,,
lewis-carroll,Lewis Carroll,author,alices-adventures-in-wonderland (author); jabberwocky (author); through-the-looking-glass (author),needs owner review,deathYear; canadaLifePlus70Safe; reviewedByOwner,Fill verified deathYear/sourceNotes and set reviewedByOwner true.,false,,,,,
robert-louis-stevenson,Robert Louis Stevenson,author,a-childs-garden-of-verses (author); dr-jekyll-and-mr-hyde (author); treasure-island (author),needs owner review,deathYear; canadaLifePlus70Safe; reviewedByOwner,Fill verified deathYear/sourceNotes and set reviewedByOwner true.,false,,,,,
active-6th-century-b-c-sunzi,active 6th century B.C. Sunzi,author,sun-tzu-on-the-art-of-war (author); the-art-of-war (author),needs owner review,deathYear; canadaLifePlus70Safe; reviewedByOwner,Fill verified deathYear/sourceNotes and set reviewedByOwner true.,false,,,,,
alexandre-dumas-auguste-maquet,Alexandre Dumas Auguste Maquet,author,the-count-of-monte-cristo (author); the-three-musketeers (author),needs owner review,deathYear; canadaLifePlus70Safe; reviewedByOwner,Fill verified deathYear/sourceNotes and set reviewedByOwner true.,false,,,,,
constance-garnett,Constance Garnett,translator,anna-karenina (translator); crime-and-punishment (translator),needs owner review,deathYear; canadaLifePlus70Safe; reviewedByOwner,Fill verified deathYear/sourceNotes and set reviewedByOwner true.,false,,,,,
edgar-rice-burroughs,Edgar Rice Burroughs,author,a-princess-of-mars (author); tarzan-of-the-apes (author),needs owner review,deathYear; canadaLifePlus70Safe; reviewedByOwner,Fill verified deathYear/sourceNotes and set reviewedByOwner true.,false,,,,,
frances-hodgson-burnett,Frances Hodgson Burnett,author,the-secret-garden (author); the-secret-garden-gutenberg-113 (author),needs owner review,deathYear; canadaLifePlus70Safe; reviewedByOwner,Fill verified deathYear/sourceNotes and set reviewedByOwner true.,false,,,,,
